learner_id,learner_name,grade,term,subject,score,assessment_date
L001,George Oloo,Grade 8,Term 1,Sports and Physical Education,85.91,2024-04-15
L001,George Oloo,Grade 8,Term 2,English,88.57,2024-08-15
L001,George Oloo,Grade 8,Term 2,Kiswahili or Kenyan Sign Language,76.22,2024-08-15
L001,George Oloo,Grade 8,Term 2,Mathematics,86.66,2024-08-15
L001,George Oloo,Grade 8,Term 2,Integrated Science,81.95,2024-08-15
L001,George Oloo,Grade 8,Term 2,Health Education,79.53,2024-08-15
L001,George Oloo,Grade 8,Term 2,Social Studies,91.14,2024-08-15
L001,George Oloo,Grade 8,Term 2,Religious Education,82.89,2024-08-15
L001,George Oloo,Grade 8,Term 2,Pre-Technical and Pre-Career Education,84.12,2024-08-15
L001,George Oloo,Grade 8,Term 2,Agriculture,82.92,2024-08-15
L001,George Oloo,Grade 8,Term 2,Business Studies,78.59,2024-08-15
L001,George Oloo,Grade 8,Term 2,Life Skills Education,84.56,2024-08-15
L001,George Oloo,Grade 8,Term 2,Sports and Physical Education,77.06,2024-08-15
L001,George Oloo,Grade 8,Term 3,English,90.11,2024-11-20
L001,George Oloo,Grade 8,Term 3,Kiswahili or Kenyan Sign Language,83.47,2024-11-20
L001,George Oloo,Grade 8,Term 3,Mathematics,89.65,2024-11-20
L001,George Oloo,Grade 8,Term 3,Integrated Science,79.59,2024-11-20
L001,George Oloo,Grade 8,Term 3,Health Education,79.43,2024-11-20
L001,George Oloo,Grade 8,Term 3,Social Studies,93.29,2024-11-20
L001,George Oloo,Grade 8,Term 3,Religious Education,88.19,2024-11-20
L001,George Oloo,Grade 8,Term 3,Pre-Technical and Pre-Career Education,77.3,2024-11-20
L001,George Oloo,Grade 8,Term 3,Agriculture,83.24,2024-11-20
L001,George Oloo,Grade 8,Term 3,Business Studies,80.14,2024-11-20
L001,George Oloo,Grade 8,Term 3,Life Skills Education,90.26,2024-11-20
L001,George Oloo,Grade 8,Term 3,Sports and Physical Education,86.25,2024-11-20
L001,George Oloo,Grade 9,Term 1,English,82.2,2025-04-15
L001,George Oloo,Grade 9,Term 1,Kiswahili or Kenyan Sign Language,79.91,2025-04-15
L001,George Oloo,Grade 9,Term 1,Mathematics,87.42,2025-04-15
L001,George Oloo,Grade 9,Term 1,Integrated Science,80.07,2025-04-15
L001,George Oloo,Grade 9,Term 1,Health Education,89.34,2025-04-15
L001,George Oloo,Grade 9,Term 1,Social Studies,89.15,2025-04-15
L001,George Oloo,Grade 9,Term 1,Religious Education,80.92,2025-04-15
L001,George Oloo,Grade 9,Term 1,Pre-Technical and Pre-Career Education,83.1,2025-04-15
L001,George Oloo,Grade 9,Term 1,Agriculture,86.73,2025-04-15
L001,George Oloo,Grade 9,Term 1,Business Studies,82.38,2025-04-15
L001,George Oloo,Grade 9,Term 1,Life Skills Education,86.22,2025-04-15
L001,George Oloo,Grade 9,Term 1,Sports and Physical Education,89.74,2025-04-15
L001,George Oloo,Grade 9,Term 2,English,88.84,2025-08-15
L001,George Oloo,Grade 9,Term 2,Kiswahili or Kenyan Sign Language,80.37,2025-08-15
L001,George Oloo,Grade 9,Term 2,Mathematics,87.94,2025-08-15
L001,George Oloo,Grade 9,Term 2,Integrated Science,79.43,2025-08-15
L001,George Oloo,Grade 9,Term 2,Health Education,83.17,2025-08-15
L001,George Oloo,Grade 9,Term 2,Social Studies,89.09,2025-08-15
L001,George Oloo,Grade 9,Term 2,Religious Education,85.88,2025-08-15
L001,George Oloo,Grade 9,Term 2,Pre-Technical and Pre-Career Education,80.5,2025-08-15
L001,George Oloo,Grade 9,Term 2,Agriculture,81.93,2025-08-15
L001,George Oloo,Grade 9,Term 2,Business Studies,81.74,2025-08-15
L001,George Oloo,Grade 9,Term 2,Life Skills Education,90.63,2025-08-15
L001,George Oloo,Grade 9,Term 2,Sports and Physical Education,82.29,2025-08-15
L001,George Oloo,Grade 9,Term 3,English,92.54,2025-11-20
L001,George Oloo,Grade 9,Term 3,Kiswahili or Kenyan Sign Language,85.87,2025-11-20
L001,George Oloo,Grade 9,Term 3,Mathematics,83.89,2025-11-20
L001,George Oloo,Grade 9,Term 3,Integrated Science,81.67,2025-11-20
L001,George Oloo,Grade 9,Term 3,Health Education,89.0,2025-11-20
L001,George Oloo,Grade 9,Term 3,Social Studies,88.6,2025-11-20
L001,George Oloo,Grade 9,Term 3,Religious Education,81.68,2025-11-20
L001,George Oloo,Grade 9,Term 3,Pre-Technical and Pre-Career Education,89.07,2025-11-20
L001,George Oloo,Grade 9,Term 3,Agriculture,86.59,2025-11-20
L001,George Oloo,Grade 9,Term 3,Business Studies,86.95,2025-11-20
L001,George Oloo,Grade 9,Term 3,Life Skills Education,93.22,2025-11-20
L001,George Oloo,Grade 9,Term 3,Sports and Physical Education,89.63,2025-11-20
L002,Michael Wanjiku,Grade 7,Term 1,English,47.57,2023-04-15
L002,Michael Wanjiku,Grade 7,Term 1,Kiswahili or Kenyan Sign Language,47.68,2023-04-15
L002,Michael Wanjiku,Grade 7,Term 1,Mathematics,60.38,2023-04-15
L002,Michael Wanjiku,Grade 7,Term 1,Integrated Science,57.3,2023-04-15
L002,Michael Wanjiku,Grade 7,Term 1,Health Education,52.9,2023-04-15
L002,Michael Wanjiku,Grade 7,Term 1,Social Studies,57.37,2023-04-15
L002,Michael Wanjiku,Grade 7,Term 1,Religious Education,50.17,2023-04-15
L002,Michael Wanjiku,Grade 7,Term 1,Pre-Technical and Pre-Career Education,52.3,2023-04-15
L002,Michael Wanjiku,Grade 7,Term 1,Agriculture,60.66,2023-04-15
L002,Michael Wanjiku,Grade 7,Term 1,Business Studies,47.99,2023-04-15
L002,Michael Wanjiku,Grade 7,Term 1,Life Skills Education,42.49,2023-04-15
L002,Michael Wanjiku,Grade 7,Term 1,Sports and Physical Education,47.84,2023-04-15
L002,Michael Wanjiku,Grade 7,Term 2,English,55.2,2023-08-15
L002,Michael Wanjiku,Grade 7,Term 2,Kiswahili or Kenyan Sign Language,49.1,2023-08-15
L002,Michael Wanjiku,Grade 7,Term 2,Mathematics,60.77,2023-08-15
L002,Michael Wanjiku,Grade 7,Term 2,Integrated Science,54.05,2023-08-15
L002,Michael Wanjiku,Grade 7,Term 2,Health Education,62.56,2023-08-15
L002,Michael Wanjiku,Grade 7,Term 2,Social Studies,59.25,2023-08-15
L002,Michael Wanjiku,Grade 7,Term 2,Religious Education,43.38,2023-08-15
L002,Michael Wanjiku,Grade 7,Term 2,Pre-Technical and Pre-Career Education,52.15,2023-08-15
L002,Michael Wanjiku,Grade 7,Term 2,Agriculture,58.74,2023-08-15
L002,Michael Wanjiku,Grade 7,Term 2,Business Studies,53.07,2023-08-15
L002,Michael Wanjiku,Grade 7,Term 2,Life Skills Education,51.78,2023-08-15
L002,Michael Wanjiku,Grade 7,Term 2,Sports and Physical Education,50.78,2023-08-15
L002,Michael Wanjiku,Grade 7,Term 3,English,55.45,2023-11-20
L002,Michael Wanjiku,Grade 7,Term 3,Kiswahili or Kenyan Sign Language,55.38,2023-11-20
L002,Michael Wanjiku,Grade 7,Term 3,Mathematics,65.91,2023-11-20
L002,Michael Wanjiku,Grade 7,Term 3,Integrated Science,57.12,2023-11-20
L002,Michael Wanjiku,Grade 7,Term 3,Health Education,59.37,2023-11-20
L002,Michael Wanjiku,Grade 7,Term 3,Social Studies,52.25,2023-11-20
L002,Michael Wanjiku,Grade 7,Term 3,Religious Education,44.78,2023-11-20
L002,Michael Wanjiku,Grade 7,Term 3,Pre-Technical and Pre-Career Education,53.67,2023-11-20
L002,Michael Wanjiku,Grade 7,Term 3,Agriculture,63.5,2023-11-20
L002,Michael Wanjiku,Grade 7,Term 3,Business Studies,44.39,2023-11-20
L002,Michael Wanjiku,Grade 7,Term 3,Life Skills Education,47.4,2023-11-20
L002,Michael Wanjiku,Grade 7,Term 3,Sports and Physical Education,49.02,2023-11-20
L002,Michael Wanjiku,Grade 8,Term 1,English,53.92,2024-04-15
L002,Michael Wanjiku,Grade 8,Term 1,Kiswahili or Kenyan Sign Language,58.3,2024-04-15
L002,Michael Wanjiku,Grade 8,Term 1,Mathematics,64.14,2024-04-15
L002,Michael Wanjiku,Grade 8,Term 1,Integrated Science,51.55,2024-04-15
L002,Michael Wanjiku,Grade 8,Term 1,Health Education,60.58,2024-04-15
L002,Michael Wanjiku,Grade 8,Term 1,Social Studies,60.37,2024-04-15
L002,Michael Wanjiku,Grade 8,Term 1,Religious Education,43.95,2024-04-15
L002,Michael Wanjiku,Grade 8,Term 1,Pre-Technical and Pre-Career Education,54.69,2024-04-15
L002,Michael Wanjiku,Grade 8,Term 1,Agriculture,65.85,2024-04-15
L002,Michael Wanjiku,Grade 8,Term 1,Business Studies,49.0,2024-04-15
L002,Michael Wanjiku,Grade 8,Term 1,Life Skills Education,55.13,2024-04-15
L002,Michael Wanjiku,Grade 8,Term 1,Sports and Physical Education,55.56,2024-04-15
L002,Michael Wanjiku,Grade 8,Term 2,English,55.92,2024-08-15
L002,Michael Wanjiku,Grade 8,Term 2,Kiswahili or Kenyan Sign Language,49.46,2024-08-15
L002,Michael Wanjiku,Grade 8,Term 2,Mathematics,60.2,2024-08-15
L002,Michael Wanjiku,Grade 8,Term 2,Integrated Science,59.23,2024-08-15
L002,Michael Wanjiku,Grade 8,Term 2,Health Education,62.18,2024-08-15
L002,Michael Wanjiku,Grade 8,Term 2,Social Studies,55.32,2024-08-15
L002,Michael Wanjiku,Grade 8,Term 2,Religious Education,46.88,2024-08-15
L002,Michael Wanjiku,Grade 8,Term 2,Pre-Technical and Pre-Career Education,62.21,2024-08-15
L002,Michael Wanjiku,Grade 8,Term 2,Agriculture,60.78,2024-08-15
L002,Michael Wanjiku,Grade 8,Term 2,Business Studies,48.32,2024-08-15
L002,Michael Wanjiku,Grade 8,Term 2,Life Skills Education,47.02,2024-08-15
L002,Michael Wanjiku,Grade 8,Term 2,Sports and Physical Education,57.22,2024-08-15
L002,Michael Wanjiku,Grade 8,Term 3,English,55.46,2024-11-20
L002,Michael Wanjiku,Grade 8,Term 3,Kiswahili or Kenyan Sign Language,60.08,2024-11-20
L002,Michael Wanjiku,Grade 8,Term 3,Mathematics,70.59,2024-11-20
L002,Michael Wanjiku,Grade 8,Term 3,Integrated Science,53.18,2024-11-20
L002,Michael Wanjiku,Grade 8,Term 3,Health Education,63.77,2024-11-20
L002,Michael Wanjiku,Grade 8,Term 3,Social Studies,58.88,2024-11-20
L002,Michael Wanjiku,Grade 8,Term 3,Religious Education,45.92,2024-11-20
L002,Michael Wanjiku,Grade 8,Term 3,Pre-Technical and Pre-Career Education,61.66,2024-11-20
L002,Michael Wanjiku,Grade 8,Term 3,Agriculture,63.85,2024-11-20
L002,Michael Wanjiku,Grade 8,Term 3,Business Studies,47.7,2024-11-20
L002,Michael Wanjiku,Grade 8,Term 3,Life Skills Education,50.23,2024-11-20
L002,Michael Wanjiku,Grade 8,Term 3,Sports and Physical Education,51.7,2024-11-20
L002,Michael Wanjiku,Grade 9,Term 1,English,54.0,2025-04-15
L002,Michael Wanjiku,Grade 9,Term 1,Kiswahili or Kenyan Sign Language,53.84,2025-04-15
L002,Michael Wanjiku,Grade 9,Term 1,Mathematics,66.12,2025-04-15
L002,Michael Wanjiku,Grade 9,Term 1,Integrated Science,60.14,2025-04-15
L002,Michael Wanjiku,Grade 9,Term 1,Health Education,61.24,2025-04-15
L002,Michael Wanjiku,Grade 9,Term 1,Social Studies,64.34,2025-04-15
L002,Michael Wanjiku,Grade 9,Term 1,Religious Education,54.51,2025-04-15
L002,Michael Wanjiku,Grade 9,Term 1,Pre-Technical and Pre-Career Education,62.48,2025-04-15
L002,Michael Wanjiku,Grade 9,Term 1,Agriculture,66.59,2025-04-15
L002,Michael Wanjiku,Grade 9,Term 1,Business Studies,53.18,2025-04-15
L002,Michael Wanjiku,Grade 9,Term 1,Life Skills Education,57.46,2025-04-15
L002,Michael Wanjiku,Grade 9,Term 1,Sports and Physical Education,52.91,2025-04-15
L002,Michael Wanjiku,Grade 9,Term 2,English,61.85,2025-08-15
L002,Michael Wanjiku,Grade 9,Term 2,Kiswahili or Kenyan Sign Language,54.45,2025-08-15
L002,Michael Wanjiku,Grade 9,Term 2,Mathematics,72.08,2025-08-15
L002,Michael Wanjiku,Grade 9,Term 2,Integrated Science,63.41,2025-08-15
L002,Michael Wanjiku,Grade 9,Term 2,Health Education,60.59,2025-08-15
L002,Michael Wanjiku,Grade 9,Term 2,Social Studies,57.46,2025-08-15
L002,Michael Wanjiku,Grade 9,Term 2,Religious Education,48.76,2025-08-15
L002,Michael Wanjiku,Grade 9,Term 2,Pre-Technical and Pre-Career Education,61.34,2025-08-15
L002,Michael Wanjiku,Grade 9,Term 2,Agriculture,67.77,2025-08-15
L002,Michael Wanjiku,Grade 9,Term 2,Business Studies,57.3,2025-08-15
L002,Michael Wanjiku,Grade 9,Term 2,Life Skills Education,53.58,2025-08-15
L002,Michael Wanjiku,Grade 9,Term 2,Sports and Physical Education,55.36,2025-08-15
L002,Michael Wanjiku,Grade 9,Term 3,English,63.06,2025-11-20
L002,Michael Wanjiku,Grade 9,Term 3,Kiswahili or Kenyan Sign Language,52.94,2025-11-20
L002,Michael Wanjiku,Grade 9,Term 3,Mathematics,70.27,2025-11-20
L002,Michael Wanjiku,Grade 9,Term 3,Integrated Science,65.44,2025-11-20
L002,Michael Wanjiku,Grade 9,Term 3,Health Education,60.34,2025-11-20
L002,Michael Wanjiku,Grade 9,Term 3,Social Studies,58.87,2025-11-20
L002,Michael Wanjiku,Grade 9,Term 3,Religious Education,48.7,2025-11-20
L002,Michael Wanjiku,Grade 9,Term 3,Pre-Technical and Pre-Career Education,69.25,2025-11-20
L002,Michael Wanjiku,Grade 9,Term 3,Agriculture,62.94,2025-11-20
L002,Michael Wanjiku,Grade 9,Term 3,Business Studies,53.62,2025-11-20
L002,Michael Wanjiku,Grade 9,Term 3,Life Skills Education,56.59,2025-11-20
L002,Michael Wanjiku,Grade 9,Term 3,Sports and Physical Education,59.6,2025-11-20
L003,Jessica Kamau,Grade 7,Term 1,English,55.15,2023-04-15
L003,Jessica Kamau,Grade 7,Term 1,Kiswahili or Kenyan Sign Language,47.84,2023-04-15
L003,Jessica Kamau,Grade 7,Term 1,Mathematics,65.75,2023-04-15
L003,Jessica Kamau,Grade 7,Term 1,Integrated Science,64.92,2023-04-15
L003,Jessica Kamau,Grade 7,Term 1,Health Education,48.5,2023-04-15
L003,Jessica Kamau,Grade 7,Term 1,Social Studies,48.16,2023-04-15
L003,Jessica Kamau,Grade 7,Term 1,Religious Education,44.86,2023-04-15
L003,Jessica Kamau,Grade 7,Term 1,Pre-Technical and Pre-Career Education,63.27,2023-04-15
L003,Jessica Kamau,Grade 7,Term 1,Agriculture,59.92,2023-04-15
L003,Jessica Kamau,Grade 7,Term 1,Business Studies,60.52,2023-04-15
L003,Jessica Kamau,Grade 7,Term 1,Life Skills Education,58.81,2023-04-15
L003,Jessica Kamau,Grade 7,Term 1,Sports and Physical Education,52.02,2023-04-15
L003,Jessica Kamau,Grade 7,Term 2,English,54.03,2023-08-15
L003,Jessica Kamau,Grade 7,Term 2,Kiswahili or Kenyan Sign Language,56.08,2023-08-15
L003,Jessica Kamau,Grade 7,Term 2,Mathematics,62.5,2023-08-15
L003,Jessica Kamau,Grade 7,Term 2,Integrated Science,67.17,2023-08-15
L003,Jessica Kamau,Grade 7,Term 2,Health Education,54.25,2023-08-15
L003,Jessica Kamau,Grade 7,Term 2,Social Studies,52.09,2023-08-15
L003,Jessica Kamau,Grade 7,Term 2,Religious Education,53.3,2023-08-15
L003,Jessica Kamau,Grade 7,Term 2,Pre-Technical and Pre-Career Education,57.37,2023-08-15
L003,Jessica Kamau,Grade 7,Term 2,Agriculture,60.38,2023-08-15
L003,Jessica Kamau,Grade 7,Term 2,Business Studies,52.2,2023-08-15
L003,Jessica Kamau,Grade 7,Term 2,Life Skills Education,60.7,2023-08-15
L003,Jessica Kamau,Grade 7,Term 2,Sports and Physical Education,53.02,2023-08-15
L003,Jessica Kamau,Grade 7,Term 3,English,57.55,2023-11-20
L003,Jessica Kamau,Grade 7,Term 3,Kiswahili or Kenyan Sign Language,58.23,2023-11-20
L003,Jessica Kamau,Grade 7,Term 3,Mathematics,65.59,2023-11-20
L003,Jessica Kamau,Grade 7,Term 3,Integrated Science,62.03,2023-11-20
L003,Jessica Kamau,Grade 7,Term 3,Health Education,55.57,2023-11-20
L003,Jessica Kamau,Grade 7,Term 3,Social Studies,46.34,2023-11-20
L003,Jessica Kamau,Grade 7,Term 3,Religious Education,45.88,2023-11-20
L003,Jessica Kamau,Grade 7,Term 3,Pre-Technical and Pre-Career Education,57.95,2023-11-20
L003,Jessica Kamau,Grade 7,Term 3,Agriculture,56.64,2023-11-20
L003,Jessica Kamau,Grade 7,Term 3,Business Studies,61.75,2023-11-20
L003,Jessica Kamau,Grade 7,Term 3,Life Skills Education,62.95,2023-11-20
L003,Jessica Kamau,Grade 7,Term 3,Sports and Physical Education,47.9,2023-11-20
L003,Jessica Kamau,Grade 8,Term 1,English,63.51,2024-04-15
L003,Jessica Kamau,Grade 8,Term 1,Kiswahili or Kenyan Sign Language,54.91,2024-04-15
L003,Jessica Kamau,Grade 8,Term 1,Mathematics,72.99,2024-04-15
L003,Jessica Kamau,Grade 8,Term 1,Integrated Science,66.3,2024-04-15
L003,Jessica Kamau,Grade 8,Term 1,Health Education,58.54,2024-04-15
L003,Jessica Kamau,Grade 8,Term 1,Social Studies,46.36,2024-04-15
L003,Jessica Kamau,Grade 8,Term 1,Religious Education,57.52,2024-04-15
L003,Jessica Kamau,Grade 8,Term 1,Pre-Technical and Pre-Career Education,59.18,2024-04-15
L003,Jessica Kamau,Grade 8,Term 1,Agriculture,64.93,2024-04-15
L003,Jessica Kamau,Grade 8,Term 1,Business Studies,56.4,2024-04-15
L003,Jessica Kamau,Grade 8,Term 1,Life Skills Education,54.72,2024-04-15
L003,Jessica Kamau,Grade 8,Term 1,Sports and Physical Education,50.86,2024-04-15
L003,Jessica Kamau,Grade 8,Term 2,English,65.82,2024-08-15
L003,Jessica Kamau,Grade 8,Term 2,Kiswahili or Kenyan Sign Language,55.24,2024-08-15
L003,Jessica Kamau,Grade 8,Term 2,Mathematics,70.54,2024-08-15
L003,Jessica Kamau,Grade 8,Term 2,Integrated Science,67.77,2024-08-15
L003,Jessica Kamau,Grade 8,Term 2,Health Education,53.84,2024-08-15
L003,Jessica Kamau,Grade 8,Term 2,Social Studies,52.68,2024-08-15
L003,Jessica Kamau,Grade 8,Term 2,Religious Education,50.88,2024-08-15
L003,Jessica Kamau,Grade 8,Term 2,Pre-Technical and Pre-Career Education,66.41,2024-08-15
L003,Jessica Kamau,Grade 8,Term 2,Agriculture,55.67,2024-08-15
L003,Jessica Kamau,Grade 8,Term 2,Business Studies,64.89,2024-08-15
L003,Jessica Kamau,Grade 8,Term 2,Life Skills Education,60.66,2024-08-15
L003,Jessica Kamau,Grade 8,Term 2,Sports and Physical Education,55.24,2024-08-15
L003,Jessica Kamau,Grade 8,Term 3,English,67.32,2024-11-20
L003,Jessica Kamau,Grade 8,Term 3,Kiswahili or Kenyan Sign Language,60.43,2024-11-20
L003,Jessica Kamau,Grade 8,Term 3,Mathematics,69.55,2024-11-20
L003,Jessica Kamau,Grade 8,Term 3,Integrated Science,64.65,2024-11-20
L003,Jessica Kamau,Grade 8,Term 3,Health Education,58.3,2024-11-20
L003,Jessica Kamau,Grade 8,Term 3,Social Studies,51.22,2024-11-20
L003,Jessica Kamau,Grade 8,Term 3,Religious Education,52.76,2024-11-20
L003,Jessica Kamau,Grade 8,Term 3,Pre-Technical and Pre-Career Education,69.33,2024-11-20
L003,Jessica Kamau,Grade 8,Term 3,Agriculture,64.88,2024-11-20
L003,Jessica Kamau,Grade 8,Term 3,Business Studies,59.24,2024-11-20
L003,Jessica Kamau,Grade 8,Term 3,Life Skills Education,59.35,2024-11-20
L003,Jessica Kamau,Grade 8,Term 3,Sports and Physical Education,53.07,2024-11-20
L003,Jessica Kamau,Grade 9,Term 1,English,64.94,2025-04-15
L003,Jessica Kamau,Grade 9,Term 1,Kiswahili or Kenyan Sign Language,57.58,2025-04-15
L003,Jessica Kamau,Grade 9,Term 1,Mathematics,68.62,2025-04-15
L003,Jessica Kamau,Grade 9,Term 1,Integrated Science,70.24,2025-04-15
L003,Jessica Kamau,Grade 9,Term 1,Health Education,62.73,2025-04-15
L003,Jessica Kamau,Grade 9,Term 1,Social Studies,56.29,2025-04-15
L003,Jessica Kamau,Grade 9,Term 1,Religious Education,60.47,2025-04-15
L003,Jessica Kamau,Grade 9,Term 1,Pre-Technical and Pre-Career Education,68.17,2025-04-15
L003,Jessica Kamau,Grade 9,Term 1,Agriculture,61.59,2025-04-15
L003,Jessica Kamau,Grade 9,Term 1,Business Studies,63.19,2025-04-15
L003,Jessica Kamau,Grade 9,Term 1,Life Skills Education,57.16,2025-04-15
L003,Jessica Kamau,Grade 9,Term 1,Sports and Physical Education,52.99,2025-04-15
L003,Jessica Kamau,Grade 9,Term 2,English,66.59,2025-08-15
L003,Jessica Kamau,Grade 9,Term 2,Kiswahili or Kenyan Sign Language,61.98,2025-08-15
L003,Jessica Kamau,Grade 9,Term 2,Mathematics,76.1,2025-08-15
L003,Jessica Kamau,Grade 9,Term 2,Integrated Science,72.46,2025-08-15
L003,Jessica Kamau,Grade 9,Term 2,Health Education,58.64,2025-08-15
L003,Jessica Kamau,Grade 9,Term 2,Social Studies,52.44,2025-08-15
L003,Jessica Kamau,Grade 9,Term 2,Religious Education,56.97,2025-08-15
L003,Jessica Kamau,Grade 9,Term 2,Pre-Technical and Pre-Career Education,72.7,2025-08-15
L003,Jessica Kamau,Grade 9,Term 2,Agriculture,68.34,2025-08-15
L003,Jessica Kamau,Grade 9,Term 2,Business Studies,60.26,2025-08-15
L003,Jessica Kamau,Grade 9,Term 2,Life Skills Education,59.3,2025-08-15
L003,Jessica Kamau,Grade 9,Term 2,Sports and Physical Education,56.75,2025-08-15
L003,Jessica Kamau,Grade 9,Term 3,English,70.18,2025-11-20
L003,Jessica Kamau,Grade 9,Term 3,Kiswahili or Kenyan Sign Language,60.56,2025-11-20
L003,Jessica Kamau,Grade 9,Term 3,Mathematics,79.57,2025-11-20
L003,Jessica Kamau,Grade 9,Term 3,Integrated Science,77.34,2025-11-20
L003,Jessica Kamau,Grade 9,Term 3,Health Education,62.57,2025-11-20
L003,Jessica Kamau,Grade 9,Term 3,Social Studies,53.81,2025-11-20
L003,Jessica Kamau,Grade 9,Term 3,Religious Education,55.19,2025-11-20
L003,Jessica Kamau,Grade 9,Term 3,Pre-Technical and Pre-Career Education,64.45,2025-11-20
L003,Jessica Kamau,Grade 9,Term 3,Agriculture,63.59,2025-11-20
L003,Jessica Kamau,Grade 9,Term 3,Business Studies,64.85,2025-11-20
L003,Jessica Kamau,Grade 9,Term 3,Life Skills Education,68.92,2025-11-20
L003,Jessica Kamau,Grade 9,Term 3,Sports and Physical Education,53.13,2025-11-20
L004,Linda Akinyi,Grade 7,Term 1,English,83.11,2023-04-15
L004,Linda Akinyi,Grade 7,Term 1,Kiswahili or Kenyan Sign Language,79.42,2023-04-15
L004,Linda Akinyi,Grade 7,Term 1,Mathematics,80.77,2023-04-15
L004,Linda Akinyi,Grade 7,Term 1,Integrated Science,68.29,2023-04-15
L004,Linda Akinyi,Grade 7,Term 1,Health Education,74.2,2023-04-15
L004,Linda Akinyi,Grade 7,Term 1,Social Studies,85.21,2023-04-15
L004,Linda Akinyi,Grade 7,Term 1,Religious Education,83.45,2023-04-15
L004,Linda Akinyi,Grade 7,Term 1,Pre-Technical and Pre-Career Education,80.91,2023-04-15
L004,Linda Akinyi,Grade 7,Term 1,Agriculture,77.67,2023-04-15
L004,Linda Akinyi,Grade 7,Term 1,Business Studies,76.47,2023-04-15
L004,Linda Akinyi,Grade 7,Term 1,Life Skills Education,78.3,2023-04-15
L004,Linda Akinyi,Grade 7,Term 1,Sports and Physical Education,80.75,2023-04-15
